Unnamed: 0,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall,change_in_direction
18,19,1.1546319456101628e-14,16.8,15.8,14.0,12.9,76.0,77.0,0.0,20.0,20.5,1,30.0
19,20,7.382983113757291e-15,16.4,14.2,12.7,11.6,75.0,93.0,0.1,40.0,21.9,1,20.0
20,21,9.769962616701378e-15,17.7,16.4,14.8,11.3,92.0,88.0,0.4,30.0,41.3,1,10.0
21,22,9.936496070395151e-15,21.9,17.8,15.8,14.3,52.0,49.0,9.1,50.0,10.2,0,20.0
22,23,7.771561172376096e-15,18.5,17.3,16.9,16.8,95.0,95.0,0.0,60.0,39.5,1,10.0
23,24,-6.106226635438361e-16,24.8,19.9,17.1,18.1,90.0,92.0,0.0,70.0,30.4,1,10.0
24,25,-1.1657341758564144e-15,23.8,22.2,20.4,20.8,84.0,88.0,0.0,70.0,30.2,1,0.0
25,26,6.6058269965196814e-15,25.3,22.3,21.0,20.6,76.0,78.0,10.2,80.0,10.2,1,10.0
26,27,-1.6653345369377348e-16,23.8,21.1,19.8,19.6,92.0,95.0,0.0,40.0,15.9,1,40.0
27,28,3.83026943495679e-15,21.7,20.3,19.4,17.9,80.0,80.0,2.6,50.0,14.5,1,10.0
28,29,7.049916206369744e-15,22.9,20.9,19.2,17.3,86.0,79.0,0.6,50.0,21.4,1,0.0
29,30,5.051514762044462e-15,23.1,20.8,19.2,15.5,74.0,49.0,7.7,40.0,14.3,0,10.0
30,31,5.495603971894525e-15,21.3,20.3,19.3,15.3,75.0,69.0,7.7,70.0,35.1,1,30.0
31,32,6.6058269965196814e-15,23.2,22.1,20.1,18.8,82.0,69.0,1.1,40.0,20.5,0,30.0
32,33,7.549516567451064e-15,21.3,18.8,17.3,13.6,52.0,56.0,2.9,40.0,21.3,0,0.0
33,34,1.1879386363489175e-14,21.6,19.3,17.4,15.3,90.0,95.0,4.3,70.0,35.3,1,30.0
34,35,3.83026943495679e-15,21.5,20.6,18.6,17.0,91.0,88.0,0.0,50.0,14.3,1,20.0
35,36,1.049160758270773e-14,18.2,17.1,16.3,9.5,78.0,89.0,0.0,50.0,28.4,0,0.0
36,37,9.43689570931383e-16,22.9,21.4,20.0,17.8,79.0,88.0,0.0,40.0,18.4,1,10.0
37,38,9.048317650695026e-15,21.1,18.2,17.8,16.9,74.0,44.0,9.5,20.0,26.7,0,20.0
38,39,1.049160758270773e-14,20.4,17.8,14.8,15.0,75.0,43.0,9.2,60.0,11.9,0,40.0
39,40,5.9396931817445875e-15,21.9,19.3,17.2,16.9,79.0,90.0,0.0,50.0,28.8,1,10.0
40,41,3.941291737419306e-15,23.4,21.7,19.6,19.0,88.0,83.0,2.3,40.0,29.6,1,10.0
41,42,2.55351295663786e-15,21.2,19.4,17.3,17.0,75.0,46.0,4.1,20.0,19.0,0,20.0
42,43,-4.996003610813204e-16,21.4,20.9,19.4,17.8,83.0,88.0,0.0,30.0,20.8,1,10.0
43,44,1.887379141862766e-15,18.9,17.7,16.9,16.8,90.0,90.0,0.0,60.0,34.2,1,30.0
44,45,4.274358644806853e-15,16.1,15.5,13.6,11.4,72.0,43.0,8.8,40.0,27.3,1,20.0
45,46,3.7192471324942744e-15,17.5,15.5,14.8,14.6,91.0,91.0,0.0,20.0,33.4,1,20.0
46,47,5.051514762044462e-15,20.6,16.1,14.2,12.2,79.0,89.0,1.0,20.0,10.7,1,0.0
47,48,3.2751579226442118e-15,21.6,19.2,17.5,19.0,95.0,92.0,0.3,40.0,6.9,1,20.0
48,49,3.608224830031759e-15,21.3,19.5,17.6,17.6,75.0,70.0,2.2,50.0,16.5,0,10.0
49,50,1.1046719095020308e-14,18.8,16.0,14.8,12.4,72.0,40.0,9.5,20.0,9.8,1,30.0
50,51,1.1879386363489175e-14,17.2,15.6,12.8,8.6,79.0,49.0,9.1,20.0,35.3,0,0.0
51,52,3.0531133177191805e-15,22.3,19.2,18.2,18.5,96.0,88.0,0.3,70.0,9.9,1,50.0
52,53,6.716849298982197e-15,18.4,17.1,16.0,16.3,93.0,93.0,0.0,70.0,19.0,1,0.0
53,54,5.828670879282072e-15,22.5,20.1,19.1,16.4,76.0,71.0,6.1,40.0,20.5,0,30.0
54,55,3.2751579226442118e-15,20.6,18.1,17.0,16.3,76.0,88.0,0.0,60.0,39.5,1,20.0
55,56,3.608224830031759e-15,21.3,19.7,18.2,18.9,95.0,91.0,0.0,40.0,10.2,1,20.0
56,57,-1.7208456881689926e-15,20.9,20.9,19.1,14.9,86.0,80.0,1.6,60.0,13.8,0,20.0
57,58,7.549516567451064e-15,25.9,21.6,19.8,17.0,79.0,70.0,7.8,40.0,24.4,1,20.0
58,59,9.43689570931383e-16,25.3,21.9,19.1,19.6,86.0,82.0,1.6,40.0,27.3,1,0.0
59,60,-2.7755575615628914e-16,22.4,20.5,20.3,17.8,91.0,80.0,0.0,40.0,25.0,1,0.0
60,61,5.051514762044462e-15,21.3,20.3,19.9,18.9,92.0,88.0,0.0,40.0,28.4,1,0.0
61,62,7.549516567451064e-15,18.2,15.9,13.5,9.9,84.0,83.0,2.3,70.0,17.2,1,30.0
62,63,4.6074255521944e-15,20.6,18.1,16.9,17.4,95.0,91.0,0.0,40.0,16.1,1,30.0
63,64,4.829470157119431e-15,21.3,19.5,18.4,15.5,76.0,72.0,7.2,70.0,25.1,0,30.0
64,65,6.494804694057166e-15,21.6,19.6,17.0,17.9,69.0,54.0,1.0,50.0,29.6,0,20.0
65,66,1.0047518372857667e-14,14.3,12.8,10.0,8.0,63.0,95.0,0.1,20.0,24.5,1,30.0
66,67,7.438494264988549e-15,18.4,15.7,14.6,12.6,59.0,88.0,0.0,40.0,27.4,1,20.0
67,68,7.216449660063518e-16,18.4,18.0,17.2,17.4,97.0,95.0,0.0,40.0,22.9,1,0.0
68,69,1.6653345369377348e-15,17.8,16.0,16.9,16.6,90.0,51.0,9.5,60.0,24.9,0,20.0
69,70,1.1657341758564144e-15,25.1,20.0,19.0,19.5,72.0,47.0,10.8,30.0,28.8,0,30.0
70,71,8.659739592076221e-15,20.9,18.4,16.9,8.9,75.0,43.0,11.0,20.0,7.4,0,10.0
71,72,2.3314683517128287e-15,25.2,21.8,19.1,19.9,83.0,80.0,3.4,70.0,16.5,0,50.0
72,73,5.495603971894525e-15,23.0,21.1,20.6,19.6,89.0,88.0,1.4,20.0,8.9,1,50.0
73,74,3.941291737419306e-15,26.3,23.3,19.2,18.8,84.0,61.0,7.6,70.0,24.8,1,50.0
74,75,-1.7208456881689926e-15,23.1,21.6,20.4,19.9,90.0,87.0,0.5,40.0,26.0,1,30.0
75,76,-1.1657341758564144e-15,26.1,23.2,21.5,20.1,87.0,88.0,3.7,40.0,28.0,1,0.0
76,77,4.996003610813204e-16,25.2,23.3,22.3,21.1,89.0,88.0,0.3,70.0,20.0,1,30.0
77,78,4.996003610813204e-16,24.9,23.1,22.4,22.8,85.0,88.0,3.2,70.0,31.2,1,0.0
78,79,-5.551115123125783e-17,26.9,25.3,24.2,21.9,87.0,85.0,0.3,50.0,26.1,1,20.0
79,80,-2.3869795029440866e-15,27.6,20.9,19.0,13.7,77.0,91.0,0.2,40.0,15.4,1,10.0
80,81,3.608224830031759e-15,26.5,24.8,23.3,22.1,83.0,81.0,1.2,80.0,24.4,1,40.0
81,82,6.938893903907228e-15,27.6,25.4,24.0,22.3,89.0,84.0,1.6,20.0,18.6,1,60.0
82,83,-2.886579864025407e-15,26.3,24.9,23.0,22.0,81.0,88.0,0.2,40.0,24.4,1,20.0
83,84,-3.219646771412954e-15,24.2,23.0,21.4,17.0,86.0,80.0,1.1,70.0,9.8,1,30.0
84,85,-6.161737786669619e-15,28.1,25.1,23.8,22.8,86.0,83.0,4.4,90.0,17.2,1,20.0
85,86,-6.106226635438361e-16,27.2,24.8,23.4,22.3,90.0,85.0,5.9,70.0,17.2,1,20.0
86,87,-6.106226635438361e-16,27.8,25.8,23.7,20.6,74.0,88.0,0.4,40.0,16.0,1,30.0
87,88,-1.4988010832439613e-15,27.1,25.9,24.2,22.6,86.0,84.0,1.6,70.0,17.5,1,30.0
88,89,3.608224830031759e-15,25.1,23.1,22.9,22.0,87.0,82.0,2.1,70.0,32.5,1,0.0
89,90,-3.885780586188048e-15,27.2,24.8,23.3,21.6,91.0,88.0,0.3,50.0,19.6,1,20.0
90,91,1.1657341758564144e-15,28.2,24.5,22.3,22.0,87.0,81.0,4.8,40.0,8.9,1,10.0
91,92,-4.996003610813204e-16,28.2,24.1,22.0,22.9,89.0,81.0,1.2,70.0,31.8,1,30.0
92,93,2.7755575615628914e-15,26.3,23.9,22.2,20.4,90.0,88.0,0.7,30.0,28.5,1,40.0
93,94,1.6653345369377348e-15,26.2,24.9,22.2,19.8,92.0,85.0,0.2,80.0,28.0,1,50.0
94,95,-2.3869795029440866e-15,26.8,24.4,23.6,22.6,91.0,80.0,1.0,220.0,34.2,1,140.0
95,96,-4.9404924595819466e-15,28.2,26.7,25.3,23.1,87.0,86.0,0.3,100.0,12.0,0,120.0
96,97,-5.6066262743570405e-15,29.1,26.6,25.4,24.2,93.0,85.0,0.9,220.0,19.0,1,120.0
97,98,-2.3869795029440866e-15,28.2,24.8,22.3,23.7,84.0,85.0,2.4,90.0,14.7,1,130.0
98,99,1.887379141862766e-15,25.9,23.4,22.8,21.2,81.0,81.0,3.9,290.0,21.2,1,200.0
99,100,3.941291737419306e-15,26.9,25.8,25.4,19.7,78.0,85.0,0.3,70.0,18.2,1,220.0
100,101,-6.106226635438361e-16,28.6,26.7,24.3,23.2,87.0,83.0,2.2,70.0,24.0,1,0.0
101,102,3.608224830031759e-15,29.6,25.8,23.3,22.1,86.0,83.0,3.5,30.0,9.8,1,40.0
102,103,-1.6653345369377348e-16,30.2,26.8,24.8,23.4,85.0,78.0,2.1,70.0,24.9,1,40.0
103,104,2.55351295663786e-15,29.6,26.5,23.7,23.2,86.0,83.0,3.9,170.0,24.4,0,100.0
104,105,-5.9396931817445875e-15,28.9,26.9,24.3,24.8,87.0,82.0,1.6,200.0,23.7,1,30.0
105,106,-5.2735593669694936e-15,28.0,27.8,25.2,25.2,89.0,88.0,0.4,70.0,34.2,1,130.0
106,107,-3.6637359812630166e-15,30.2,26.9,24.2,22.7,84.0,84.0,2.2,230.0,15.1,1,160.0
107,108,-5.2735593669694936e-15,31.2,28.0,24.7,25.0,81.0,88.0,0.6,240.0,28.4,1,10.0
108,109,-2.3869795029440866e-15,27.6,25.5,24.4,24.8,79.0,80.0,4.5,60.0,12.4,1,180.0
109,110,-3.885780586188048e-15,30.6,28.1,26.8,25.1,89.0,89.0,2.0,130.0,21.4,1,70.0
110,111,-2.9976021664879227e-15,30.6,28.7,26.3,25.3,86.0,84.0,2.3,270.0,18.8,1,140.0
111,112,-4.218847493575595e-15,28.7,25.4,23.9,22.1,87.0,84.0,2.9,40.0,14.5,1,230.0
112,113,-2.3869795029440866e-15,26.2,24.0,22.4,23.4,82.0,83.0,2.1,70.0,11.9,1,30.0
113,114,-4.218847493575595e-15,28.7,26.7,25.3,24.3,84.0,87.0,0.6,90.0,15.7,1,20.0
114,115,-5.9396931817445875e-15,31.0,28.6,26.9,24.9,81.0,83.0,3.0,220.0,9.2,1,130.0
115,116,-5.384581669432009e-15,29.7,25.8,24.2,22.6,89.0,88.0,1.3,20.0,28.8,1,200.0
116,117,-1.4988010832439613e-15,25.8,23.7,22.4,22.3,89.0,81.0,1.2,80.0,39.5,1,60.0
117,118,-2.7755575615628914e-15,28.2,25.5,23.3,19.3,82.0,81.0,4.3,40.0,31.8,0,40.0
118,119,-5.551115123125783e-17,27.3,25.5,23.3,20.6,73.0,64.0,6.3,120.0,29.6,0,80.0
119,120,-6.38378239159465e-15,31.2,28.1,26.4,24.3,85.0,90.0,3.9,130.0,23.3,1,10.0
120,121,-7.716050021144838e-15,31.0,28.1,26.8,25.0,84.0,84.0,2.6,220.0,14.5,1,90.0
121,122,-8.715250743307479e-15,29.2,27.4,25.5,24.0,89.0,88.0,1.2,130.0,15.8,1,90.0
122,123,-4.6074255521944e-15,30.9,27.1,26.3,24.0,89.0,88.0,1.4,230.0,15.1,1,100.0
123,124,-2.9976021664879227e-15,29.8,26.5,24.3,23.3,83.0,85.0,3.5,190.0,14.2,1,40.0
124,125,-1.7208456881689926e-15,26.4,24.9,23.2,21.7,84.0,82.0,0.3,70.0,14.0,1,120.0
125,126,-1.1657341758564144e-15,27.9,25.8,24.4,23.1,82.0,88.0,1.6,80.0,39.3,1,10.0
126,127,-5.384581669432009e-15,31.0,28.1,26.2,25.0,81.0,80.0,3.7,80.0,20.5,1,0.0
127,128,-2.3869795029440866e-15,30.7,27.9,26.4,25.6,89.0,89.0,1.2,200.0,22.5,1,120.0
128,129,-4.6074255521944e-15,30.1,28.9,26.3,24.3,84.0,70.0,3.3,230.0,15.3,1,30.0
129,130,-2.609024107869118e-15,31.6,28.7,26.3,25.4,81.0,88.0,0.1,200.0,26.1,1,30.0
130,131,-5.495603971894525e-15,31.4,28.2,26.1,25.1,82.0,75.0,9.1,120.0,21.8,0,80.0
131,132,-1.27675647831893e-15,31.3,28.8,26.1,22.7,81.0,87.0,2.1,20.0,19.2,1,100.0
132,133,-5.9396931817445875e-15,33.0,30.1,28.0,25.1,75.0,68.0,10.0,230.0,19.3,1,210.0
133,134,-8.715250743307479e-15,31.0,28.8,27.3,20.7,77.0,59.0,7.5,70.0,9.8,0,160.0
134,135,-4.829470157119431e-15,32.3,30.2,27.4,25.9,86.0,88.0,0.6,220.0,13.4,1,150.0
135,136,-7.93809462606987e-15,32.0,29.4,27.6,26.0,89.0,88.0,2.5,200.0,26.4,1,20.0
136,137,-5.717648576819556e-15,32.2,29.0,27.0,25.3,79.0,79.0,7.0,220.0,16.4,1,20.0
137,138,-7.93809462606987e-15,32.3,29.6,28.7,25.7,84.0,77.0,6.3,220.0,15.4,1,0.0
138,139,-5.828670879282072e-15,32.6,29.7,26.4,25.7,81.0,69.0,7.8,220.0,34.0,1,0.0
139,140,-6.2727600891321345e-15,32.8,29.9,26.7,26.7,89.0,74.0,6.1,230.0,15.8,1,10.0
140,141,-6.772360450213455e-15,32.7,29.0,27.0,26.0,76.0,46.0,10.0,220.0,9.4,0,10.0
141,142,-5.051514762044462e-15,32.8,30.0,26.4,25.2,74.0,28.0,11.1,220.0,19.0,0,0.0
142,143,-5.717648576819556e-15,30.4,27.4,25.3,24.2,74.0,57.0,9.1,220.0,11.9,0,0.0
143,144,-9.547918011776346e-15,31.5,28.3,26.9,25.8,87.0,83.0,6.9,60.0,14.1,1,160.0
144,145,-5.495603971894525e-15,33.0,30.2,28.4,25.7,78.0,53.0,10.0,220.0,10.9,0,160.0
145,146,-5.495603971894525e-15,32.1,29.8,27.5,25.5,81.0,83.0,3.0,130.0,52.8,1,90.0
146,147,-9.103828801926284e-15,32.8,29.0,27.0,25.0,74.0,38.0,11.9,200.0,8.3,0,70.0
147,148,-5.717648576819556e-15,33.3,30.1,28.0,24.3,79.0,69.0,10.7,220.0,7.9,0,20.0
148,149,-3.6637359812630166e-15,31.2,28.1,25.8,23.1,79.0,49.0,9.8,20.0,14.5,0,200.0
149,150,-8.1601392309949e-15,34.0,30.1,28.4,25.8,77.0,23.0,10.4,240.0,15.7,0,220.0
150,151,-4.218847493575595e-15,34.4,30.1,28.8,24.7,74.0,29.0,11.4,200.0,12.6,1,40.0
151,152,-5.2735593669694936e-15,34.0,30.6,26.7,25.9,81.0,79.0,4.8,220.0,25.0,1,20.0
152,153,-7.93809462606987e-15,33.2,30.8,28.0,25.3,77.0,29.0,11.0,230.0,14.5,0,10.0
153,154,-4.718447854656915e-15,32.0,29.0,27.0,24.5,76.0,44.0,10.7,220.0,40.8,0,10.0
154,155,-7.716050021144838e-15,31.9,29.3,26.2,24.2,81.0,77.0,6.7,210.0,7.9,1,10.0
155,156,-5.495603971894525e-15,32.9,29.1,27.1,25.3,78.0,78.0,9.1,240.0,19.0,1,30.0
156,157,-8.715250743307479e-15,34.7,30.1,28.5,25.4,79.0,88.0,0.4,50.0,15.3,1,190.0
157,158,-6.161737786669619e-15,31.7,28.9,26.2,25.8,81.0,78.0,4.6,230.0,21.9,1,180.0
158,159,-4.6074255521944e-15,30.8,28.9,27.4,25.1,86.0,67.0,5.7,110.0,11.1,1,120.0
159,160,-5.828670879282072e-15,32.6,30.7,28.4,25.4,86.0,78.0,2.3,230.0,14.1,1,120.0
160,161,-6.161737786669619e-15,31.7,29.5,27.5,25.5,84.0,63.0,8.9,130.0,14.0,0,100.0
161,162,-6.8833827526759706e-15,32.0,30.1,29.0,25.6,84.0,88.0,1.5,220.0,29.2,1,90.0
162,163,-7.93809462606987e-15,31.0,29.3,27.1,25.3,79.0,77.0,4.6,220.0,13.9,1,0.0
163,164,-7.605027718682322e-15,32.2,29.0,27.6,25.3,82.0,78.0,6.6,220.0,14.5,1,0.0
164,165,-4.107825191113079e-15,32.6,29.7,27.4,26.1,79.0,73.0,9.4,210.0,31.9,1,10.0
165,166,-6.38378239159465e-15,33.0,30.1,27.8,25.8,78.0,67.0,10.6,220.0,14.5,1,10.0
166,167,-5.828670879282072e-15,31.2,29.0,27.2,25.3,90.0,77.0,2.7,130.0,9.1,1,90.0
167,168,-7.216449660063518e-15,33.2,29.6,26.9,25.0,85.0,88.0,2.4,240.0,25.1,1,110.0
168,169,-1.2712053631958042e-14,33.5,30.0,27.8,26.0,89.0,88.0,2.0,220.0,10.9,1,20.0
169,170,-8.271161533457416e-15,29.1,27.9,26.6,25.8,89.0,88.0,0.5,230.0,20.9,1,10.0
170,171,-1.1213252548714081e-14,33.1,30.1,27.1,26.1,80.0,83.0,0.5,220.0,27.9,1,10.0
171,172,-1.2378986724570495e-14,33.7,30.0,26.1,24.7,89.0,78.0,2.1,220.0,9.2,1,0.0
172,173,-4.107825191113079e-15,35.2,30.0,28.5,24.7,78.0,44.0,10.1,240.0,12.4,1,20.0
173,174,-7.716050021144838e-15,31.6,29.2,27.3,25.3,86.0,86.0,1.0,80.0,31.2,1,160.0
174,175,-4.829470157119431e-15,31.2,28.1,26.2,25.3,78.0,47.0,9.1,200.0,17.2,0,120.0
175,176,-6.8833827526759706e-15,32.8,30.1,28.0,25.6,79.0,72.0,7.1,220.0,30.3,0,20.0
176,177,-5.6066262743570405e-15,32.9,29.7,27.4,25.8,91.0,87.0,0.2,230.0,26.3,1,10.0
177,178,-5.828670879282072e-15,32.0,29.4,27.5,26.2,82.0,84.0,6.4,230.0,16.9,1,0.0
178,179,-6.38378239159465e-15,30.6,28.4,26.7,25.8,82.0,84.0,1.3,200.0,14.5,1,30.0
179,180,-7.716050021144838e-15,31.2,29.0,26.1,25.4,80.0,88.0,1.2,190.0,26.4,1,10.0
180,181,-5.828670879282072e-15,29.0,28.2,26.8,25.0,84.0,88.0,0.5,190.0,19.8,1,0.0
181,182,-3.3306690738754696e-15,31.1,28.9,26.7,25.6,84.0,84.0,4.4,190.0,16.5,1,0.0
182,183,-5.384581669432009e-15,30.3,28.4,26.8,25.4,79.0,88.0,0.3,230.0,14.5,1,40.0
183,184,-7.827072323607354e-15,31.2,28.4,26.8,25.2,79.0,78.0,4.4,220.0,16.3,1,10.0
184,185,-1.1213252548714081e-14,30.8,27.9,26.5,24.8,81.0,84.0,2.0,220.0,11.9,1,0.0
185,186,-5.717648576819556e-15,32.0,30.7,28.4,25.8,77.0,72.0,7.7,220.0,10.0,1,0.0
186,187,-6.161737786669619e-15,31.7,28.9,26.9,25.3,86.0,82.0,2.2,220.0,20.0,1,0.0
187,188,-5.2735593669694936e-15,31.2,28.2,26.8,26.0,87.0,83.0,3.0,220.0,14.3,1,0.0
188,189,-6.161737786669619e-15,33.0,30.0,28.4,25.3,84.0,69.0,0.4,220.0,14.3,0,0.0
189,190,-5.828670879282072e-15,33.0,30.0,28.1,25.5,81.0,51.0,6.9,220.0,18.0,1,0.0
190,191,-5.2735593669694936e-15,32.4,30.7,28.0,25.0,79.0,67.0,7.0,220.0,10.9,1,0.0
191,192,-7.605027718682322e-15,33.3,30.3,26.7,26.4,79.0,88.0,3.0,200.0,20.5,1,20.0
192,193,-7.716050021144838e-15,33.0,30.4,28.0,25.5,76.0,38.0,10.9,220.0,15.8,0,20.0
193,194,-6.161737786669619e-15,33.9,30.0,28.0,26.4,84.0,61.0,9.1,160.0,8.6,1,60.0
194,195,-4.218847493575595e-15,32.5,30.7,28.3,25.5,75.0,40.0,11.2,270.0,6.6,0,110.0
195,196,-8.715250743307479e-15,34.1,30.2,28.1,25.5,78.0,41.0,8.3,10.0,13.6,0,260.0
196,197,-9.325873406851315e-15,33.3,30.0,26.3,24.3,81.0,47.0,8.2,220.0,12.8,1,210.0
197,198,-8.049116928532385e-15,32.7,30.3,28.3,24.1,74.0,61.0,10.0,200.0,23.5,0,20.0
198,199,-7.827072323607354e-15,33.5,30.5,28.7,26.4,79.0,78.0,5.5,230.0,9.1,0,30.0
199,200,-1.4488410471358293e-14,32.9,30.2,28.2,25.8,78.0,38.0,11.1,230.0,16.3,1,0.0
200,201,-6.38378239159465e-15,32.0,30.6,28.4,25.9,81.0,78.0,9.1,230.0,25.5,1,0.0
201,202,-2.3869795029440866e-15,31.2,28.3,26.3,25.3,80.0,43.0,9.5,220.0,9.8,0,10.0
202,203,-5.828670879282072e-15,31.8,28.8,26.7,24.5,81.0,78.0,2.2,200.0,11.2,1,20.0
203,204,-6.161737786669619e-15,32.4,29.0,26.5,26.3,84.0,83.0,6.7,190.0,15.3,1,10.0
204,205,-5.2735593669694936e-15,30.6,28.4,26.6,25.0,81.0,88.0,0.3,220.0,11.3,1,30.0
205,206,-5.2735593669694936e-15,29.4,27.2,26.6,25.6,89.0,83.0,0.3,180.0,10.0,1,40.0
206,207,-9.992007221626409e-15,31.1,28.7,26.7,25.4,78.0,79.0,3.8,210.0,13.8,1,30.0
207,208,-1.071365218763276e-14,31.2,28.0,26.5,25.9,89.0,84.0,0.3,220.0,17.3,1,10.0
208,209,-5.2735593669694936e-15,32.9,29.6,26.4,26.6,83.0,82.0,3.5,280.0,9.2,1,60.0
209,210,-6.161737786669619e-15,30.6,28.6,26.3,25.3,82.0,87.0,2.0,200.0,20.5,1,80.0
210,211,-6.161737786669619e-15,32.9,29.9,28.6,26.3,81.0,78.0,5.0,250.0,21.9,1,50.0
211,212,-8.049116928532385e-15,30.6,27.4,24.9,25.0,84.0,88.0,2.1,190.0,21.9,1,60.0
212,213,-3.4416913763379853e-15,30.6,28.3,26.6,25.9,85.0,82.0,2.9,300.0,21.9,1,110.0
213,214,-5.828670879282072e-15,32.7,30.4,28.1,25.2,74.0,43.0,10.0,300.0,13.8,0,0.0
214,215,-6.38378239159465e-15,31.2,28.1,26.9,25.8,82.0,84.0,2.2,220.0,24.5,1,80.0
215,216,-5.9396931817445875e-15,33.0,30.0,27.4,24.2,75.0,43.0,9.3,220.0,23.2,0,0.0
216,217,-6.8833827526759706e-15,30.8,27.2,25.5,23.2,75.0,78.0,3.5,90.0,13.9,1,130.0
217,218,-9.103828801926284e-15,31.6,28.3,26.4,25.4,81.0,84.0,2.5,220.0,23.7,1,130.0
218,219,-5.717648576819556e-15,31.5,28.1,25.7,25.5,74.0,75.0,7.6,230.0,10.9,1,10.0
219,220,-6.5503158452884236e-15,30.1,28.1,26.1,25.1,84.0,83.0,2.5,230.0,20.3,0,0.0
220,221,-6.5503158452884236e-15,32.9,29.6,26.5,25.8,89.0,88.0,1.1,220.0,13.2,1,10.0
221,222,-8.715250743307479e-15,28.6,26.8,25.4,25.4,90.0,88.0,0.5,230.0,19.2,1,10.0
222,223,-5.717648576819556e-15,29.1,28.3,27.4,24.3,85.0,88.0,0.2,230.0,15.3,1,0.0
223,224,-8.715250743307479e-15,31.8,28.8,26.7,25.0,79.0,67.0,6.7,240.0,7.3,1,10.0
224,225,-3.219646771412954e-15,29.6,26.9,24.5,24.1,87.0,84.0,6.0,220.0,9.1,1,20.0
225,226,-1.7208456881689926e-15,29.6,27.1,25.8,23.8,76.0,50.0,8.8,60.0,14.3,0,160.0
226,227,-1.7208456881689926e-15,29.4,27.7,25.4,25.9,81.0,86.0,2.4,40.0,13.8,1,20.0
227,228,-2.1649348980190553e-15,33.7,29.1,26.9,23.2,85.0,84.0,5.8,230.0,11.0,1,190.0
228,229,-5.717648576819556e-15,30.6,27.8,25.7,25.4,91.0,81.0,3.7,220.0,23.2,1,10.0
229,230,-7.105427357601002e-15,31.8,28.1,24.5,25.4,85.0,88.0,0.6,230.0,11.7,1,10.0
230,231,-2.3869795029440866e-15,30.2,27.8,26.5,23.1,76.0,54.0,10.0,50.0,13.3,0,180.0
231,232,-3.3306690738754696e-15,30.8,28.1,26.1,25.8,84.0,58.0,9.9,100.0,29.0,0,50.0
232,233,-4.9404924595819466e-15,29.2,26.8,25.5,23.1,75.0,62.0,6.9,10.0,12.1,1,90.0
233,234,-2.9976021664879227e-15,28.6,26.1,25.4,23.4,89.0,87.0,0.3,40.0,11.7,1,30.0
234,235,-1.4988010832439613e-15,28.1,25.8,24.5,23.2,86.0,83.0,3.6,80.0,23.7,1,40.0
235,236,-2.3869795029440866e-15,31.4,28.1,26.8,23.7,75.0,56.0,10.0,70.0,32.5,0,10.0
236,237,-4.218847493575595e-15,32.0,27.6,25.3,22.3,75.0,80.0,8.0,220.0,8.3,0,150.0
237,238,-6.106226635438361e-16,30.4,28.7,26.4,25.3,83.0,79.0,2.0,220.0,29.8,1,0.0
